Scope
Manufacturer	Model
Xfer Records	vst3.56534558667350736572756D20320000.Serum 2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Main Vol	0	4194304	Value	ValueOutput
Main Tuning	0	4194304	Value	ValueOutput
Amp	0	4194304	Value	ValueOutput
Porta Time	0	4194304	Value	ValueOutput
Porta Curve	0	4194304	Value	ValueOutput
Bend Up	0	48	Value	ValueOutput
Bend Down	0	48	Value	ValueOutput
Pitch Bend	0	4194304	Value	ValueOutput
Mod Wheel	0	4194304	Value	ValueOutput
Mono Toggle	0	1	Value	ValueOutput
Legato	0	1	Value	ValueOutput
Porta Always	0	1	Value	ValueOutput
Porta Scaled	0	1	Value	ValueOutput
Swing	0	4194304	Value	ValueOutput
Swing Div	0	6	Value	ValueOutput
Transpose	0	48	Value	ValueOutput
Bypass	0	1	Value	ValueOutput
Direct Vol	0	4194304	Value	ValueOutput
Bus 1 Vol	0	4194304	Value	ValueOutput
Bus 2 Vol	0	4194304	Value	ValueOutput
A Enable	0	1	Value	ValueOutput
A Level	0	4194304	Value	ValueOutput
A Pan	0	4194304	Value	ValueOutput
A Octave	0	8	Value	ValueOutput
A Semi	0	24	Value	ValueOutput
A Fine	0	4194304	Value	ValueOutput
A Ratio	0	4194304	Value	ValueOutput
A Hz Offset	0	4194304	Value	ValueOutput
A Coarse Pitch	0	4194304	Value	ValueOutput
A Pitch Track	0	1	Value	ValueOutput
A Start	0	4194304	Value	ValueOutput
A End	0	4194304	Value	ValueOutput
A Reverse	0	1	Value	ValueOutput
A Scan Rate	0	4194304	Value	ValueOutput
A Scan BPM Rate	0	6	Value	ValueOutput
A Scan Key Track	0	1	Value	ValueOutput
A Position	0	4194304	Value	ValueOutput
A Loop Start	0	4194304	Value	ValueOutput
A Loop End	0	4194304	Value	ValueOutput
A Loop X-Fade	0	4194304	Value	ValueOutput
A Loop Mode	0	4	Value	ValueOutput
A Relative Loop	0	1	Value	ValueOutput
A Single Slice	0	99	Value	ValueOutput
A Slice Play Mode	0	1	Value	ValueOutput
A Unison	0	15	Value	ValueOutput
A Uni Stack	0	8	Value	ValueOutput
A Uni Detune	0	4194304	Value	ValueOutput
A Uni Blend	0	4194304	Value	ValueOutput
A Uni Width	0	4194304	Value	ValueOutput
A Uni Span	0	4194304	Value	ValueOutput
A Uni Rand Start	0	4194304	Value	ValueOutput
A Uni Warp	0	4194304	Value	ValueOutput
A Uni Warp 2	0	4194304	Value	ValueOutput
A Warp	0	4194304	Value	ValueOutput
A Warp Var	0	4194304	Value	ValueOutput
A Warp Mode	0	69	Value	ValueOutput
A Warp 2	0	4194304	Value	ValueOutput
A Warp 2 Var	0	4194304	Value	ValueOutput
A Warp 2 Mode	0	69	Value	ValueOutput
A WT Pos	0	4194304	Value	ValueOutput
A Uni WT Pos	0	4194304	Value	ValueOutput
A Phase	0	4194304	Value	ValueOutput
A Rand Phase	0	4194304	Value	ValueOutput
A Param44	0	4194304	Value	ValueOutput
A Param45	0	4194304	Value	ValueOutput
A Param46	0	4194304	Value	ValueOutput
A Param47	0	4194304	Value	ValueOutput
A Param48	0	4194304	Value	ValueOutput
A Param49	0	4194304	Value	ValueOutput
A Param50	0	4194304	Value	ValueOutput
A Param51	0	4194304	Value	ValueOutput
A Param52	0	4194304	Value	ValueOutput
A Param53	0	4194304	Value	ValueOutput
A Param54	0	4194304	Value	ValueOutput
A Param55	0	4194304	Value	ValueOutput
B Enable	0	1	Value	ValueOutput
B Level	0	4194304	Value	ValueOutput
B Pan	0	4194304	Value	ValueOutput
B Octave	0	8	Value	ValueOutput
B Semi	0	24	Value	ValueOutput
B Fine	0	4194304	Value	ValueOutput
B Ratio	0	4194304	Value	ValueOutput
B Hz Offset	0	4194304	Value	ValueOutput
B Coarse Pitch	0	4194304	Value	ValueOutput
B Pitch Track	0	1	Value	ValueOutput
B Start	0	4194304	Value	ValueOutput
B End	0	4194304	Value	ValueOutput
B Reverse	0	1	Value	ValueOutput
B Scan Rate	0	4194304	Value	ValueOutput
B Scan BPM Rate	0	6	Value	ValueOutput
B Scan Key Track	0	1	Value	ValueOutput
B Position	0	4194304	Value	ValueOutput
